Conferencia,Ano,Edicao,Titulo,Resumo,Link
BRACIS,2025,2025: Anais da XXXV Brazilian Conference on Intelligent Systems,A New Approach for Obtain Reduced Sets in Least Squares Support Vector Machine: Lengthen via Levenberg-Marquardt,"In this work, a new approach for obtaining reduced sets for training least squares support vector machine (LSSVM) in binary classification tasks is presented. The methodology consists of carrying out a vector quantization procedure, forming clusters in the original feature space, subsequently it is determined which of the clusters presents greater heterogeneity, that is, which one presents more patterns of distinct classes. Starting from the premise that the patterns with the greatest chance of being support vectors are those closest to the decision boundary, the patterns from this cluster are used as candidates for initial support vectors and then the feature space is divided into the most heterogeneous cluster and its complementary. Then, using only complementary set, the LSSVM problem is formulated and solved iteratively via the Levenberg-Marquardt algorithm. This algorithm, in each iteration, considers the lagrange multipliers with the largest absolute values and transfer them from the complementary set to the most heterogenous one. This process continues until the stopping criterion is met. This results in a reduced set formed by the final support vectors for the LSSVM containing both the closest and furthest patterns from the decision boundary which carry great significance for the model. Numerical simulations are conducted to demonstrate the predictive capacity of the proposal, as well as its efficiency in terms of processing time.",https://sol.sbc.org.br/index.php/bracis/article/view/40769
BRACIS,2025,2025: Anais da XXXV Brazilian Conference on Intelligent Systems,A Note on Learning Algorithms as Approximations of Solomonoff Induction,"We present a theoretical result showing that a learning algorithm can be seen to be an approximation of Solomonoff induction. A constant multiplicative bound between the predictive probability of a learning algorithm and the Solomonoff semi-distribution characterises this approximation. Our main contribution is to state and prove this result concisely, in general, clarifying the theoretical role of algorithmic probability in practical learning. We also establish a positive correlation between the Vapnik Chervonenkis (VC) dimension of a model class and the Kolmogorov complexity of individual hypotheses within it, reinforcing the conceptual alignment between learnability and compressibility. We contextualise these findings by discussing implications on the MDL principle and the emergent behaviour of large language models (LLMs), which empirically approximate algorithmic prediction. An example and comparisons with PAC learning, Bayesian inference, and reinforcement learning are provided.",https://sol.sbc.org.br/index.php/bracis/article/view/40770
BRACIS,2025,2025: Anais da XXXV Brazilian Conference on Intelligent Systems,A Novel Interpretable Approach to Deep Multimodal Data Fusion Applied to Cancer Diagnosis,"The use of artificial intelligence (AI) in healthcare has seen significant growth, particularly in cancer diagnosis, which remains one of the leading causes of mortality globally. AI-based computer-aided diagnosis systems leveraging computer vision have explored multimodal data including images, text, and graphs, among others to improve diagnostic accuracy. However, many approaches, especially those involving middle fusion, are considered black-box models. Inspired by the clinical reasoning adopted by medical professionals, and aiming to develop a more interpretable approach based on deep multimodal fusion, this paper proposes a new hybrid approach. Firstly, the medical lesion image is classified using a convolutional neural network or transformer, generating a probability for one of the target classes. Next, this probability, combined with clinical and/or sociodemographic data, is used as input to an external classifier, which generates the final diagnostic. The proposed approach was evaluated: 1) on the skin cancer PAD-UFES-20 dataset consisting of clinical image and patient lesion information, and 2) on oral cancer NDB-UFES dataset consisting of histopathological images and sociodemographic data. On the one side, the obtained results indicate a slight inferior performance in terms of balanced accuracy compared to state-of-the-art using middle fusion, but on the other side our model provided interpretability using Shapley Additive Explanations (SHAP).",https://sol.sbc.org.br/index.php/bracis/article/view/40848
BRACIS,2025,2025: Anais da XXXV Brazilian Conference on Intelligent Systems,A Semantic Representation for the MIMIC-IV Database,"The exponential growth of data in public databases, such as GenBank, underscores the need to consolidate information from multiple sources and formats. The diverse strategies adopted by each database create heterogeneities in schemas, file formats, and identifiers, making direct and efficient integration challenging. The absence of a common semantic model for querying various independent biological databases has driven the community to develop biomedical ontologies. In this context, Knowledge Graphs emerge as a viable strategy to represent information in a semantically rich and organized manner, playing an essential role in overcoming integration and semantic interoperability challenges, enabling applications ranging from protein function identification to clinical applications. This work proposes the conception of a semantic representation for the MIMIC-IV database, aimed at creating its Knowledge Graph. This initiative seeks to integrate MIMIC-IV with other existing biomedical databases, facilitating discoveries and significant insights in the biomedical field. The project also addresses an existing gap in the literature regarding MIMIC-IV by providing a detailed analysis of its semantic representation and its application in biomedical research.",https://sol.sbc.org.br/index.php/bracis/article/view/40876
BRACIS,2025,2025: Anais da XXXV Brazilian Conference on Intelligent Systems,A Stacked Deep Learning-Based Method for Multiclass Classification of Sandstones in Microtomographic Images,"This study proposes a hybrid approach for the multiclass classification of micro-CT images of sandstones, aiming to support the automation of rock analysis in oil and gas applications, given that this process still heavily relies on manual analysis by specialists, which can be time-consuming, subjective, and error-prone. The methodology was developed using the 11 Sandstones: raw, filtered and segmented data dataset. Convolutional neural networks (DenseNet121, ResNet50, and VGG16) were trained individually, and their respective softmax outputs were weighted according to each model’s individual accuracy. The proposed method constitutes a stacked model by integrating the weighted averaging strategy with a multilayer perceptron (MLP). The results showed that the proposed approach outperformed both the individual models and simpler ensemble techniques, achieving up to 99% overall accuracy in the test evaluations. Furthermore, it proved effective in correcting errors observed in the other approaches, providing greater stability and robustness.",https://sol.sbc.org.br/index.php/bracis/article/view/40877
BRACIS,2025,2025: Anais da XXXV Brazilian Conference on Intelligent Systems,ADR Based on Fuzzy Logic with Dynamic Number of Uplink Transmissions Adjustment for LoRaWAN Networks in Mobility Scenarios,"Adaptive Data Rate (ADR) mechanisms are essential for optimizing communication performance and energy efficiency in LoRaWAN networks. However, traditional ADR schemes often struggle to adapt reliably to dynamic channel conditions, especially when devices are mobile. To address these challenges, this work introduces the Fuzzy ADR sensitive to the Coefficient of Variation with a Dynamic Transmission Window (FADR-CVM), a fuzzy-logic-based mechanism that applies robust normalization of the Signal-to-Noise Ratio (SNR), the link’s Coefficient of Variation (CV), and the variation in the number of measured SNR values–also inferred by the fuzzy system. Based on these factors, the mechanism dynamically adjusts the number of future uplink transmissions, infers changes to the spreading factor (SF) and transmit power (TP), and thus aims to boost data-delivery reliability and improve energy efficiency. The proposed mechanism was evaluated through simulations in the NS-3 tool, considering a 100 km area with up to 1000 randomly distributed end devices (EDs) operating either statically or under mobility. Experimental results show that the proposed solution improves the packet delivery ratio (PDR) by up to 10% and increases energy efficiency by up to 60 bits/J. These results highlight the potential of integrating fuzzy logic with dynamic transmission adjustments as an effective strategy for enabling more robust and energy-efficient communications in LoRaWAN networks.",https://sol.sbc.org.br/index.php/bracis/article/view/40878
BRACIS,2025,2025: Anais da XXXV Brazilian Conference on Intelligent Systems,AI Agents Powered by Open-Source Language Models for Causal Understanding in Portuguese,"Causal reasoning is a key capability for developing more robust, fair, and explainable AI agents. However, the ability of open-source Large Language Models (LLMs) to perform causal reasoning, especially in low-resource languages like Portuguese, remains a significant challenge. This paper introduces two AI agents powered by open-source LLMs: the Causal Classifier Agent and the Causal Judge Agent. For the fine-tuning of the Causal Classifier Agent, we leveraged an expanded version of the Golden Collection with a corpus of 2,500 natural language questions in Portuguese designed to support multilevel causal classification, combined with an enhanced Few-Shot Learning prompting strategy. The results demonstrate that, with targeted training and carefully designed prompts, smaller open-source LLMs can match or even outperform larger models in causal reasoning tasks. In the Causal Judge Agent project, we adopted an enhanced Few-Shot Learning approach and employed an open-source LLM to identify gaps and errors in the fine-tuning process of the first agent. This study highlights the potential of corpus-based fine-tuning and LLM-as-a-judge techniques as cost-effective strategies for improving causal reasoning capabilities in open LLMs.",https://sol.sbc.org.br/index.php/bracis/article/view/40773
BRACIS,2025,2025: Anais da XXXV Brazilian Conference on Intelligent Systems,APVAT: Attention Perturbation in Virtual Adversarial Training for Semi-supervised Learning,"A significant portion of the textual corpus lacks the annotated labels needed for training supervised models. Manual labeling of such data is costly and impractical. In response to this challenge, semi-supervised learning (SSL) has emerged as a pivotal approach to harnessing the potential of both labeled and unlabeled data. This paper explores the integration of adversarial perturbation with SSL, particularly focusing on text classification tasks. We propose an innovative approach called APVAT, which incorporates adversarial perturbation into the Attention Virtual Adversarial Training (VAT) model. We performed experiments in five benchmark datasets, exploring the impact of different embeddings such as fastText, GloVe BERT, and GPT-2. Our contributions are twofold: First, our approach improves classification accuracy in datasets with little training data compared to previous methods, even when labeled data is scarce (e.g., 10%). Perturbation augments the training data effectively, leading to efficient model learning and resource savings. Second, our method reduces the time of processing and required training epochs. The findings demonstrate that the fusion of adversarial perturbation in the attention mechanism with SSL, particularly when applied to text classification, offers a promising avenue for advancing the field.",https://sol.sbc.org.br/index.php/bracis/article/view/40774
BRACIS,2025,2025: Anais da XXXV Brazilian Conference on Intelligent Systems,ASV-CM Score Fusion for Robust Speaker Verification in Spoofed Scenarios,"Spoofing-Aware Speaker Verification (SASV) hybrid systems have become a necessity as traditional Automatic Speaker Verification (ASV), despite recent improvements, remain vulnerable to spoofing attacks. This work proposed a multi-model fusion that integrates ASV and Countermeasure (CM) systems by combining decision scores from both types. The individual and combined systems were evaluated on their ability to detect spoofing. Results show that spoofing attacks significantly degrade the performance of all standalone ASV systems. Among the CM models, Whisper and HuBERT outperformed the ASVspoof2019 baselines on both the Logical Access (LA) and Physical Access (PA) datasets. Among all hybrid configurations evaluated, the WeSpeaker Resnet34-HuBERT and WeSpeaker Resnet34-Whisper combinations demonstrated the best performance, achieving EER (Equal Error Rate) of 0.5% and 0.8% on the LA and PA datasets, respectively. These results achieved performance close to the state-of-the-art while offering improved and better generalization.",https://sol.sbc.org.br/index.php/bracis/article/view/40882
BRACIS,2025,2025: Anais da XXXV Brazilian Conference on Intelligent Systems,Adversarial Attack on Large Language Models for the Portuguese Language,"Large language models (LLMs) have gained a lot of visibility recently and have been widely used. They revolutionized the field of artificial intelligence by allowing machines to process and reproduce human-like texts in an unprecedented way. In the same way that this technology promotes the creation of innovative applications, from chatbots and virtual assistants to content creation tools and personalized recommendation systems, it also faces major challenges and risks, such as adversarial attacks. Adversarial attacks aim to reveal the vulnerability of deep neural network models, the basis of LLMs, enabling the development of defense methods and thus making these models more robust. This research sought to investigate the robustness of LLMs fine-tuned for the Portuguese language against adversarial attacks, specifically the BERTimbau and Sabiá models. Experimental results demonstrate an attack success rate against the BERTimbau model of approximately 93% for the sentiment analysis task, while an attack success rate of approximately 83% was achieved for the textual entailment task, thus indicating that the model is susceptible to adversarial attacks. For the Sabiá model, a performance drop rate of 6.6% was obtained, which shows it is also vulnerable to adversarial attacks.",https://sol.sbc.org.br/index.php/bracis/article/view/40771
BRACIS,2025,2025: Anais da XXXV Brazilian Conference on Intelligent Systems,Agentic AI Meets Fundamentalist Financial Analysis: Limits and Possibilities,"Large Language Models (LLMs) applications in the financial domain offer enhanced efficiency in generating insights and improving accessibility of information to the public. Common applications include sentiment analysis, financial report summarization, and financial database querying. However, despite their potential, LLMs still face limitations in this domain, such as limited up-to-date financial knowledge and insufficient mathematical skills. To address these gaps, recent research has explored agentic frameworks that integrate LLMs with specialized tools—employing Retrieval-Augmented Generation (RAG) for up-to-date knowledge and calculator modules for mathematical skills. Expanding the scope of financial tasks in which agents can be applied, this work investigates the Fundamental Stock Analysis task. Specifically, we examine whether an agentic LLM can extract balance sheet and income statement data from stock press releases and compute a number of key fundamental indicators. We evaluated two LLMs, one open and one proprietary, in three prompting strategies and three agentic frameworks in 19 listed companies in the Energy Sector of the Brazilian Stock Market. Our results highlight the feasibility of automating fundamental analysis with agents, while highlighting the strengths and limitations of current LLM-based agentic approaches. The code and resources are openly available at https://github.com/AIDA-BR/fundamentalist-agent .",https://sol.sbc.org.br/index.php/bracis/article/view/40772
BRACIS,2025,2025: Anais da XXXV Brazilian Conference on Intelligent Systems,Anomaly Detection in Spatiotemporal Patterns: A Case Study of Brazilian Traffic Accidents During the COVID-19 Lockdown,"This study proposes a methodology to assess pattern changes in spatio-temporal data as a descriptive analysis. As a study case, we focus on traffic accident profile changes in Brazil due to the lockdown of the COVID-19 pandemic, analyzing different categories of occurrences separately. The method uses mainly public data on highway incidents and applies spatial correlation and linear regression models. The combined indicator of dissimilarity and spatiotemporal autocorrelation identifies regional anomalies when regressed regarding data before and during the pandemic. The methodology revealed that the lockdown affected accident characteristics differently across states, leading to changes in state-level and regional rates that could be overlooked in exploratory analyses or when neglecting spatial relationships. This case study can inform public policies and guide future research on the impacts of lockdown traffic and on human behavior.",https://sol.sbc.org.br/index.php/bracis/article/view/40849
BRACIS,2025,2025: Anais da XXXV Brazilian Conference on Intelligent Systems,Are Current Computer Vision Models for Handgun Detection Ready to Be Deployed in Camera Surveillance Systems?,"Computer Vision (CV) has become a key component of modern camera surveillance systems, enhancing public and private security. One persistent challenge in this domain is the reliable detection of handguns in low-quality images, in which weapons are often small, partially occluded, and carried discreetly to avoid attention. To address this, recent advances have focused on specialized models trained on specific weapon types and human poses. However, two crucial aspects remain underexplored. First, while state-of-the-art models have improved handgun detection rates, they also exhibit a noticeable increase in false positives, often mistaking unrelated objects for firearms. Second, although combining gun detection with pose estimation is a common approach, it may offer limited value in practice, as criminals tend to maintain natural, non-suspicious postures to avoid drawing attention. In this work, we analyze the effectiveness of such models in scenarios that reflect real-world urban settings: low-resolution surveillance footage, small concealed weapons, and non-suspicious human behavior. To address these limitations, we propose two key contributions: an enhanced approach that extends a gun-and-pose model with a different method for computing the intersection between predictions and ground truth; and a new set of images designed to better train models for detecting handguns in the context of non-suspicious human behavior. In addition to improving performance in our experiments, our findings also highlight the need for more robust and context-aware handgun detection systems in CV-based surveillance.",https://sol.sbc.org.br/index.php/bracis/article/view/40880
BRACIS,2025,2025: Anais da XXXV Brazilian Conference on Intelligent Systems,Argumentation Schemes for Stress Inference,"Stress arises from interactions between individuals and their environment, often exceeding coping resources and leading to severe consequences, especially in high-risk occupations like intensive care units (ICUs). This study reviews stress assessment models and proposes argumentation schemes for stress inference. Leveraging enthymematic reasoning, these schemes formalize patterns linking contextual, physiological, and psychological factors to stress attributions. Our approach enhances automated stress reasoning, supporting interventions in critical environments.",https://sol.sbc.org.br/index.php/bracis/article/view/40775
BRACIS,2025,2025: Anais da XXXV Brazilian Conference on Intelligent Systems,Assessing DeepSeek-R1’s Performance on Brazil’s Defining National Education Benchmark,"This paper evaluates DeepSeek-R1’s performance on Brazil’s National High School Exam (ENEM), a culturally-specific educational benchmark that tests reasoning across multiple domains. Using the pass@k metric across three years (2022–2024) of ENEM questions, we found strong reasoning capabilities, particularly in Human Sciences, where 2023–2024 performance exceeded 0.98 pass@1 score. Mathematics showed the most variability, with diverse scores across the three years. The model demonstrated sophisticated self-translation capabilities when handling Brazilian Portuguese language questions without explicit translation instructions. Despite strong overall performance, inconsistencies across subject domains persist. Our findings suggest that recent advances in AI reasoning extend effectively beyond typical AI benchmarks to diverse cultural contexts, with implications for AI deployment in various global settings. This evaluation contributes to understanding how generative AI systems perform when facing multidisciplinary, culturally-situated reasoning challenges.",https://sol.sbc.org.br/index.php/bracis/article/view/40850
BRACIS,2025,2025: Anais da XXXV Brazilian Conference on Intelligent Systems,Assessing Demographic Bias and Fairness in Facial Recognition Systems: A Framework,"This paper presents a structured framework for assessing bias in facial recognition (FR) models, with an application to a case study. Bias in FR technologies towards sensitive demographic groups remains a significant challenge and a shared responsibility among researchers and companies in the design and development of fair systems. Despite increasing attention to fairness in FR, most existing studies address isolated stages of bias evaluation, with few offering an end-to-end well-defined solution. The proposed framework was developed in a structured and objective manner: 1) the selection of appropriate datasets; 2) the application of bias evaluation metrics; and 3) the techniques and the comparative analysis of performance across demographic groups. That framework aims not only to assist researchers in assessing bias in FR models but also to support the comparison and establishment of benchmarking tests for bias across different models. As a second contribution, we present a case study that applies the proposed framework to widely used benchmark datasets and relevant state-of-the-art pre-trained FR models, providing a comprehensive evaluation of performance disparities across different demographic groups.",https://sol.sbc.org.br/index.php/bracis/article/view/40851
BRACIS,2025,2025: Anais da XXXV Brazilian Conference on Intelligent Systems,"Assessing an Evolutionary Search Engine for Small Language Models, Prompts, and Evaluation Metrics","The concurrent optimization of language models and instructional prompts presents a significant challenge for deploying efficient and effective AI systems, particularly when balancing performance against computational costs like token usage. This paper introduces and assesses a bi-objective evolutionary search engine designed to navigate this complex space, focusing specifically on Small Language Models (SLMs). We employ the NSGA-II algorithm and prompt grammar to simultaneously optimize for task accuracy and token efficiency across some reasoning tasks. Our results successfully identify diverse, high-performing model-prompt combinations, quantitatively revealing the critical trade-off between the two objectives. This research highlights task-specific affinities between particular SLMs and prompt structures (e.g., instructions, context, chain of thought). The generated practical Pareto fronts offer decision-makers a portfolio of optimized solutions adaptable to their specific constraints. This automated approach moves beyond traditional manual tuning, providing a foundational framework for discovering effective human-AI interaction patterns.",https://sol.sbc.org.br/index.php/bracis/article/view/40881
BRACIS,2025,2025: Anais da XXXV Brazilian Conference on Intelligent Systems,AutoFAR: An Intelligent Hybrid System for Boosting Autoformer Forecasts,"Time series forecasting is essential for many real-world applications, spanning healthcare, climatology, finance, energy, manufacturing, etc.. Machine Learning (ML) models have garnered significant attention for their ability to capture complex, nonlinear patterns in temporal data, an area where traditional linear statistical methods often face limitations. The literature highlights that Autoformers have gained significant relevance due to their ability to effectively model autocorrelation structures in time series while performing trend and seasonality decomposition. However, recent studies have presented mixed results regarding its performance. This can occur because nonlinear models often struggle to simultaneously capture linear and nonlinear temporal patterns effectively. This paper proposes a novel intelligent hybrid system named AutoFAR to address this limitation. The proposal enhances Autoformer forecasting by modeling the residual series using an Autoregressive Integrated Moving Average (ARIMA) model. Initially, Autoformer is used to forecast the time series under study. Subsequently, its residuals are analyzed to identify any underlying linear patterns. If significant linear patterns exist, an ARIMA model is fitted to these residuals. The final forecast is obtained by adding the outputs from the Autoformer and ARIMA models. An experimental evaluation was conducted with five well-known datasets. The results show that AutoFAR consistently outperforms both Autoformer and well-established forecasting models, Long Short-Term Memory (LSTM), Temporal Convolutional Network (TCN), Random Forest, eXtreme Gradient Boosting (XGBoost), and Transformers. For four out of five time series, AutoFAR achieves significant improvements, indicating that intelligently modeling linear components left by the Autoformer is a promising strategy.",https://sol.sbc.org.br/index.php/bracis/article/view/40883
